Test,n_sources,max_out_degree,n_nodes,max_instances,n_compute,n_instances,g_diam,n_sinks,median_out_degree,config,n_math,n_edges,n_cycles
native_log10-float,2,1,6,1,2,4,4,1,1,5,2,5,0.25
convert-int8-short8,1,8,10,1,0,2,2,1,1,0,0,16,32
sqrt-float,1,1,4,1,1,3,3,1,1,12,1,3,0.25
iv-select-acc-2way,2,1,5,3,1,5,3,1,1,11,0,4,0.25
sub_sat-short3,6,5,22,1,11,15,4,2,1,8,0,39,65536
mul-hi-mixed-uchar-ushort-1-wide_pma,2,8,35,1,16,19,3,1,2,2,0,64,268435456
rhadd-uchar3,6,2,16,1,5,9,4,2,1,5,0,16,0.5
rhadd-uchar2,3,1,8,1,2,5,4,1,1,8,0,7,0.25
add-non-splat-non-imm-1d-short8_pma,5,4,14,1,4,6,3,1,1,11,0,16,2
rhadd-uchar8,3,4,20,1,8,11,4,1,1,5,0,28,128
add_sat-short8,4,8,41,1,28,31,4,1,1,1,0,96,1.80144E+16
add_sat-short3,6,5,22,1,11,15,4,2,1,0,0,39,65536
add_sat-short2,4,5,14,1,7,10,4,1,1,15,0,24,512
dot-uchar4-uchar4,2,2,12,1,5,8,4,1,1,8,0,13,1
add_sat-short4,4,5,23,1,14,17,4,1,1,15,0,48,16777216
dot-char4-uchar4,2,2,12,1,5,8,4,1,1,15,0,13,1
rotate-uchar8,3,8,48,1,36,39,6,1,1,1,0,68,524288
rotate-uchar4,3,4,26,1,18,21,6,1,1,15,0,34,128
rotate-uchar2,3,2,15,1,9,12,6,1,1,15,0,17,2
rotate-uchar3,3,4,26,1,18,21,6,1,1,15,0,34,128
convert-float2-char2,1,2,6,1,2,4,3,1,1,15,0,6,0.5
mad_hi-char16,4,8,53,1,24,28,5,1,1,15,0,80,67108864
convert-float16-ushort16,2,8,35,1,16,19,3,1,1,15,0,48,4096
convert-char-float,1,1,5,1,2,4,4,1,1,15,0,4,0.25
add_low_rshift_sat_pos_h_ui,3,4,16,1,4,8,3,1,1,0,0,24,128
select-float4,3,4,28,1,12,16,4,1,2,15,0,48,524288
select-float2,3,2,16,1,6,10,4,1,2,15,0,24,128
convert-float2-int2_sat,6,4,27,1,18,20,4,1,2,1,0,50,4194304
select-float8,3,8,52,1,24,28,4,1,2,15,0,96,8.79609E+12
sub-transformations-abs-pos-sat-short-wide-1_pma,2,8,75,1,56,59,5,1,1,0,0,120,1.75922E+13
rshift_sat_pos_h_ii,2,8,27,1,8,11,3,1,1,8,0,40,4096
clamp-short4_scalar,3,4,16,1,8,12,4,1,1,0,0,24,128
mul-cospi-float2,2,2,9,1,2,5,3,1,1,15,2,10,1
convert-char3-float3,2,4,12,1,7,9,5,1,1,1,0,16,8
radians-float16,3,16,37,1,16,20,3,2,1,1,0,64,67108864
iv-select-acc-eq-idx-innerLoop-ver2,2,1,6,3,2,7,4,1,1,1,0,5,0.25
mul-hi-ushort-1_pma,2,8,35,1,16,19,3,1,2,0,0,64,268435456
rotate-char,4,2,15,1,8,11,6,1,1,14,0,18,4
add_low_rshift_sat_pos_b_ii,3,8,28,1,8,12,3,1,1,2,0,48,524288
islessequal-float,2,1,6,1,1,4,3,1,1,15,0,5,0.25
convert-float2-int2_sat_rtz,6,4,27,1,18,20,4,1,2,15,0,50,4194304
min-ushort,2,1,6,1,1,4,3,1,1,15,0,5,0.25
convert-float2-int2_sat_rtp,6,4,27,1,18,20,4,1,2,15,0,50,4194304
convert-uint-int,1,1,3,1,0,2,2,1,1,15,0,2,0.25
mul-exp2-float8,2,8,27,1,8,11,3,1,1,15,8,40,4096
shl-complicated-char-1_pma,2,8,35,1,16,19,3,1,2,0,0,64,268435456
islessequal-float2,2,2,11,1,4,7,4,1,1,1,0,12,1
islessequal-float3,2,3,15,1,6,9,4,1,1,1,0,18,4
vec_step-char8,1,1,3,1,0,2,2,1,1,15,0,2,0.25
convert-char3-float3_rtp,2,4,12,1,7,9,5,1,1,1,0,16,8
islessequal-float4,2,4,19,1,8,11,4,1,1,1,0,24,16
ushort2fp_with_shift,2,8,23,1,16,18,4,1,1,1,0,36,4096
vec_step-char2,1,1,3,1,0,2,2,1,1,15,0,2,0.25
vec_step-char3,1,1,3,1,0,2,2,1,1,15,0,2,0.25
islessequal-float8,2,8,35,1,16,19,4,1,1,1,0,48,4096
convert-float2-int2_sat_rte,6,4,27,1,18,20,4,1,2,1,0,50,4194304
vec_step-char4,1,1,3,1,0,2,2,1,1,0,0,2,0.25
memcpy_2D,2,8,19,1,8,10,3,1,1,11,0,32,4096
iv-select-acc-eq-idx-innerLoop-ver2-i16,2,2,7,3,3,8,4,1,1,5,0,7,0.5
sub-transformations-none-none-abs-uint-1_pma,2,4,15,1,4,7,3,1,1,11,0,20,16
convert-float8-int8_sat,6,8,87,1,72,74,4,1,2,3,0,200,5.1923E+33
iv-select-acc-lt-idx-innerLoop,2,1,6,3,2,7,4,1,1,11,0,5,0.25
mad_sat-char4,7,4,34,1,20,24,6,1,1,1,0,50,32768
mad_sat-char3,7,3,30,1,16,20,6,1,1,1,0,40,512
mad_sat-char2,7,2,21,1,10,14,6,1,1,1,0,25,8
hsub_int,2,1,6,1,1,4,3,1,1,11,0,5,0.25
max-char16,2,8,51,1,32,35,4,1,1,1,0,80,268435456
mad_sat-char8,7,8,60,1,40,44,6,1,1,1,0,100,5.49756E+11
load-store-bound-1,2,4,11,1,4,6,3,1,1,5,0,16,16
pma6_gather_and_4_loads,5,2,19,1,6,12,8,1,1,2,0,20,1
convert-int-uchar,1,1,3,1,0,2,2,1,1,1,0,2,0.25
floor-float4,1,4,10,1,4,6,3,1,1,1,0,12,2
smoothstep-float4,5,4,54,1,36,40,8,1,1,12,4,76,2097152
missing_wait_9,2,8,27,1,8,11,3,1,1,2,0,40,4096
missing_wait_8,2,8,19,1,8,10,3,1,1,1,0,32,4096
convert-float-uchar_sat_rte,7,4,20,1,11,13,6,1,1,15,0,28,128
missing_wait_3,2,8,19,1,8,10,3,1,1,1,0,32,4096
missing_wait_2,2,8,19,1,8,10,3,1,1,2,0,32,4096
dot-float4,2,4,18,1,7,10,5,1,1,1,0,23,16
missing_wait_7,2,8,19,1,8,10,3,1,1,2,0,32,4096
missing_wait_6,2,8,27,1,8,11,3,1,1,2,0,40,4096
missing_wait_5,2,8,19,1,8,10,3,1,1,0,0,32,4096
missing_wait_4,2,8,19,1,8,10,3,1,1,0,0,32,4096
rshift_sat_h_ii,2,4,15,1,4,7,3,1,1,11,0,20,16
convert-float3-uchar3_sat,7,4,44,1,33,35,6,1,2,1,0,84,5.49756E+11
shl-const-non-imm-mask-short-wide-1_pma,2,16,27,1,16,18,3,1,1,2,0,56,268435456
add-non-splat-imm-1d-int8_pma,8,8,24,1,7,9,2,1,1,2,0,30,32
sqrt-mul-float8,2,8,27,1,8,11,3,1,1,3,8,40,4096
any-char2,6,2,12,1,4,7,5,2,1,1,0,11,0.25
any-char3,6,2,14,1,5,8,6,2,1,3,0,14,0.5
add-1d-char-imm_pma,2,8,19,1,8,10,3,1,1,2,0,32,4096
any-char8,6,4,24,1,13,16,10,2,1,3,0,32,128
min-max-short-1-wide_pma,2,8,59,1,40,43,4,1,1,4,0,112,4.5036E+15
convert-float8-char8_rte,1,8,18,1,8,10,3,1,1,3,0,24,32
convert-float2-uchar2_sat,7,4,32,1,22,24,6,1,2,12,0,56,8388608
convert-uint-float_rte,1,1,4,1,1,3,3,1,1,3,0,3,0.25
convert-float-short_rtp,1,1,4,1,1,3,3,1,1,3,0,3,0.25
accumulate-short8_pma,1,4,10,2,4,10,3,1,1,10,0,12,2
convert-uint-float_rtn,7,2,18,1,9,11,6,1,1,2,0,21,4
convert-float8-char8_rtn,1,8,18,1,8,10,3,1,1,2,0,24,32
clamp-uchar16,3,8,60,1,32,36,4,1,1,3,0,104,8.79609E+12
convert-float-short_rtz,1,1,4,1,1,3,3,1,1,1,0,3,0.25
convert-float-short_rte,1,1,4,1,1,3,3,1,1,2,0,3,0.25
min-uint16,4,8,54,1,16,22,3,2,1,2,0,80,33554432
convert-float8-char8_rtp,1,8,18,1,8,10,3,1,1,12,0,24,32
convert-uint-float_rtp,7,2,18,1,9,11,6,1,1,12,0,21,4
convert-float-short_rtn,1,1,4,1,1,3,3,1,1,12,0,3,0.25
convert-uint-float_rtz,7,2,18,1,9,11,6,1,1,14,0,21,4
abs_diff-int,2,1,6,1,1,4,3,1,1,14,0,5,0.25
scalar-livein-int_pma,3,2,10,1,2,6,3,2,1,9,0,10,0.5
convert-uint-uchar,1,1,3,1,0,2,2,1,1,2,0,2,0.25
convert-ushort-uint,3,1,5,1,0,3,2,2,1,14,0,3,0.125
shift-dl-test-2_pma,5,16,47,1,33,35,4,1,2,0,0,106,2.8823E+17
convert-float-uint_sat,3,4,14,1,9,11,4,1,2,14,0,23,256
iv_cmp_pred_and_actual_use_long_chain,5,2,18,2,11,15,6,1,1,7,0,19,1
add-transformations-abs-pos-sat-char-wide-1_pma,3,16,100,1,80,83,8,1,1,12,0,168,1.47574E+20
shl-complicated-char-3_pma,3,8,52,1,32,35,5,1,1,1,0,88,34359738368
cmp-basic-ushort8-1_pma,10,7,23,1,7,10,3,1,1,0,0,34,1024
convert-uchar-int,2,1,5,1,1,3,3,1,1,12,0,4,0.25
isequal-float16,4,8,70,1,32,38,4,2,1,12,0,96,33554432
convert-float8-short8_rtn,1,8,18,1,8,10,3,1,1,3,0,24,32
convert-float8-short8_rte,1,8,18,1,8,10,3,1,1,3,0,24,32
rotate-ushort3,2,2,15,1,8,11,4,1,1,1,0,20,16
convert-float8-short8_rtz,1,8,18,1,8,10,3,1,1,3,0,24,32
convert-short-int,1,1,4,1,1,3,3,1,1,12,0,3,0.25
convert-float8-short8_rtp,1,8,18,1,8,10,3,1,1,3,0,24,32
convert-float-char_sat,6,4,18,1,10,12,5,1,1,0,0,26,128
convert-short16-float16_rte,1,8,27,1,16,19,3,2,1,0,0,40,4096
log2-float,1,1,4,1,1,3,3,1,1,14,1,3,0.25
convert-ushort16-float16,1,8,27,1,16,19,3,2,1,3,0,40,4096
cmp-basic-uint-1_pma,2,8,19,1,8,10,3,1,1,1,0,32,4096
convert-uint4-float4,1,4,10,1,4,6,3,1,1,3,0,12,2
atan-mul-float3,2,3,12,1,3,6,3,1,1,2,3,15,4
add-non-splat-non-imm-1d-short16_pma,9,8,26,1,8,10,3,1,1,1,0,32,32
convert-float2-ushort2_sat,7,4,32,1,22,24,6,1,2,12,0,56,8388608
pretty_box2box,3,11,77,2,57,61,10,1,1,3,0,130,4.5036E+15
printf-in-eyeq-offload,2,8,19,1,8,10,3,1,1,15,0,32,4096
native_exp10-float3,2,3,9,1,3,5,3,1,1,14,3,12,4
convert-float-short_sat_rtn,6,4,18,1,10,12,5,1,1,2,0,26,128
convert-float-short_sat_rte,6,4,18,1,10,12,5,1,1,2,0,26,128
convert-float-short_sat_rtz,6,4,18,1,10,12,5,1,1,2,0,26,128
mul_hi-ushort,2,1,6,1,1,4,3,1,1,12,0,5,0.25
convert-float-short_sat_rtp,6,4,18,1,10,12,5,1,1,12,0,26,128
max-float,2,1,6,1,1,4,3,1,1,14,0,5,0.25
convert-short-ushort,1,1,3,1,0,2,2,1,1,3,0,2,0.25
all-short3,4,2,10,1,3,6,4,2,1,14,0,9,0.25
shl-const-non-imm-non-splatted-mask-int_pma,5,4,14,1,4,6,3,1,1,12,0,16,2
max-uint16,4,8,54,1,16,22,3,2,1,0,0,80,33554432
convert-char3-uint3,3,2,9,1,3,5,3,1,1,9,0,11,2
convert-short2-uint2,1,2,5,1,2,4,3,1,1,15,0,5,0.5
uchar-scalar-interlace-iterator,3,2,9,1,3,6,4,1,1,14,0,9,0.5
unaligned-store-offset-0-width-3,2,3,8,1,3,6,3,1,1,3,0,11,4
vec_step-short16,1,1,3,1,0,2,2,1,1,15,0,2,0.25
select-short16,3,8,44,1,16,20,3,1,2,0,0,88,8.79609E+12
add_low_rshift_sat_h_ui,3,4,16,1,4,8,3,1,1,11,0,24,128
ldexp-float,2,1,8,1,3,6,5,1,1,9,1,7,0.25
mix-float3,3,4,28,1,12,16,5,1,1,15,0,40,2048
mix-float2,3,2,16,1,6,10,5,1,1,15,0,20,8
mix-float4,3,4,28,1,12,16,5,1,1,0,0,40,2048
convert-uchar8-float8_rtn,1,4,14,1,8,10,3,1,1,1,0,20,32
mix-float8,3,8,52,1,24,28,5,1,1,15,0,80,134217728
gather-movable-base,1,1,5,1,0,3,4,1,1,1,0,4,0.25
mul_hi-uchar3,6,2,15,1,4,8,4,2,1,0,0,15,0.5
masked_load_int8_with_bounds,2,16,27,1,16,18,3,1,1,15,0,56,268435456
mul-basic-mixed-short-char-short-wide_pma,2,8,43,1,24,27,4,1,1,2,0,72,268435456
convert-uint3-float3_rtz,7,3,38,1,27,29,6,1,2,1,0,63,16777216
convert-int4-float4,1,4,10,1,4,6,3,1,1,1,0,12,2
scaleWarpWithSeparateBounds,20,12,139,3,104,117,18,1,1,0,0,249,6.49037E+32
convert-float2-ushort2_rtz,1,2,6,1,2,4,3,1,1,1,0,6,0.5
clamp-ushort,3,1,9,1,2,6,4,1,1,0,0,8,0.25
mul24-uint16,4,8,86,1,48,54,3,2,1,3,0,176,6.1897E+26
native_log10-float8,2,8,27,1,16,18,4,1,1,15,16,40,4096
convert-uchar8-float8_rtz,1,4,14,1,8,10,3,1,1,1,0,20,32
max-char,2,1,8,1,3,6,4,1,1,15,0,7,0.25
convert-uint4-uchar4,1,4,6,1,0,2,2,1,1,15,0,8,2
step_scalar-float16,4,32,71,1,48,53,4,2,1,1,0,145,9.44473E+21
add_sat-uchar,4,2,11,1,4,7,5,1,1,15,0,11,0.5
add-wide-interlace-1d-int_pma,3,8,29,1,16,19,3,2,1,2,0,56,67108864
fp_mad-const,5,4,18,1,4,8,3,1,1,0,0,24,32
pma_acopy_3D1_uint,2,8,19,1,8,10,3,1,1,0,0,32,4096
