Test,n_sources,max_out_degree,n_nodes,max_instances,n_compute,n_instances,g_diam,n_sinks,median_out_degree,config,n_math,n_edges,n_cycles
clamp-int_scalar,3,1,9,1,2,6,4,1,1,0,0,8,0.25
clamp-char2_scalar,3,2,14,1,7,11,5,1,1,0,0,16,2
convert-ushort2-char2,1,1,3,1,0,2,2,1,1,0,0,2,0.25
copysign-float8,4,8,45,1,24,27,4,1,1,0,0,72,67108864
convert-float-uchar_sat_rtp,7,4,20,1,11,13,6,1,1,0,0,28,128
convert-float3-int3_sat_rte,6,4,37,1,27,29,4,1,2,0,0,75,1.37439E+11
convert-uint3-float3,1,3,8,1,3,5,3,1,1,15,0,9,1
printf-phdl-lies-no-flag,2,8,19,1,8,10,3,1,1,100,0,32,4096
scatter-store-predicated,4,4,32,2,17,30,4,2,2,11,0,53,1048576
gather-int-with-condition,1,8,15,1,0,3,4,1,1,0,0,24,256
convert-float3-int3_sat_rtn,6,4,37,1,27,29,4,1,2,2,0,75,1.37439E+11
convert-float3-int3_sat_rtp,6,4,37,1,27,29,4,1,2,0,0,75,1.37439E+11
native_tan-float3,2,6,15,1,9,11,4,1,1,100,9,24,256
select-char,4,1,11,1,3,7,5,1,1,1,0,10,0.25
add-non-splat-non-imm-1d-short4_pma,3,2,8,1,2,4,3,1,1,7,0,8,0.5
convert-float3-int3_sat_rtz,6,4,37,1,27,29,4,1,2,0,0,75,1.37439E+11
convert-float2-char2_sat_rtz,6,4,29,1,20,22,5,1,2,1,0,52,4194304
shifts-multiple-const-non-imm-mask-int-1_pma,3,8,36,1,24,26,4,1,1,12,0,64,134217728
convert-float-uchar_sat_rtn,7,4,20,1,11,13,6,1,1,0,0,28,128
convert-short2-uchar2,1,1,3,1,0,2,2,1,1,0,0,2,0.25
convert-int-float_rtp,11,6,37,1,24,26,9,1,1,5,0,54,65536
accumulate-multiple-loops_pma,1,4,10,2,4,10,3,1,1,12,0,12,2
convert-uchar4-float4_rtn,1,2,8,1,4,6,3,1,1,15,0,10,2
convert-int3-short3,1,4,6,1,0,2,2,1,1,12,0,8,2
hadd-ushort16,2,8,27,1,8,11,3,1,1,15,0,40,4096
convert-int-float_rtz,8,4,25,1,15,17,7,1,1,1,0,35,512
max-int,2,1,6,1,1,4,3,1,1,15,0,5,0.25
convert-float4-char4_sat,6,4,51,1,40,42,5,1,2,1,0,104,4.5036E+15
round-float,7,5,22,1,13,15,5,1,1,12,0,33,1024
convert-uchar8-uint8,3,4,12,1,4,7,3,2,1,8,0,13,1
convert-uchar4-float4_rte,1,2,8,1,4,6,3,1,1,0,0,10,2
convert-uchar4-float4_rtz,1,2,8,1,4,6,3,1,1,1,0,10,2
upsample-uchar16,3,8,44,1,24,27,4,1,1,1,0,64,524288
convert-int3-uchar3,1,4,6,1,0,2,2,1,1,12,0,8,2
convert-int-float_rte,1,1,4,1,1,3,3,1,1,1,0,3,0.25
convert-uchar4-float4_rtp,1,2,8,1,4,6,3,1,1,0,0,10,2
convert-int-float_rtn,11,6,37,1,24,26,9,1,1,5,0,54,65536
rotate-short8,2,4,27,1,16,19,4,1,1,12,0,40,4096
log2-mul-float,2,1,6,1,1,4,3,1,1,0,1,5,0.25
vec_step-float,1,1,3,1,0,2,2,1,1,15,0,2,0.25
add-wide-interlace-1d-int2_pma,3,8,23,1,8,13,3,2,1,3,0,36,4096
mul_hi-int8,2,8,75,1,56,59,4,1,1,1,0,152,7.55579E+22
convert-float2-char2_sat,6,4,29,1,20,22,5,1,2,0,0,52,4194304
rotate-short4,2,2,15,1,8,11,4,1,1,1,0,20,16
mul_hi-int3,2,4,30,1,21,24,4,1,1,1,0,57,67108864
mul_hi-int2,2,4,21,1,14,17,4,1,1,1,0,38,65536
mul_hi-int4,2,4,39,1,28,31,4,1,1,1,0,76,68719476736
convert-float-uchar_sat_rtz,7,4,20,1,11,13,6,1,1,3,0,28,128
mad_hi-char,4,1,13,1,5,9,6,1,1,15,0,12,0.25
compress-mask,8,8,91,2,59,68,9,2,1,0,0,152,1.15292E+18
min-uint,2,1,6,1,1,4,3,1,1,8,0,5,0.25
rotate-short3,2,2,15,1,8,11,4,1,1,3,0,20,16
shl-basic-char-1_pma,2,8,19,1,8,10,3,1,1,8,0,32,4096
convert-int3-ushort3,1,4,6,1,0,2,2,1,1,0,0,8,2
convert-float-int,1,1,4,1,1,3,3,1,1,0,0,3,0.25
mean_norm_v16,2,16,147,1,112,115,6,1,1,0,0,208,1.15292E+18
pma_acopy_2D5_deprecatedAPI,2,8,19,1,8,10,3,1,1,1,0,32,4096
convert-ushort-float_rte,1,1,4,1,1,3,3,1,1,0,0,3,0.25
convert-ushort-float_rtn,1,1,4,1,1,3,3,1,1,15,0,3,0.25
convert-uchar3-short3,1,2,4,1,0,2,2,1,1,1,0,4,0.5
convert-char8-int8,3,4,16,1,8,10,3,1,1,3,0,28,2048
convert-ushort-float_rtp,1,1,4,1,1,3,3,1,1,15,0,3,0.25
mad_hi-char3,5,2,19,1,7,11,5,1,1,12,0,21,2
convert-ushort-float_rtz,1,1,4,1,1,3,3,1,1,12,0,3,0.25
mad_hi-char4,4,2,17,1,6,10,5,1,1,2,0,20,4
bitselect-int,4,2,12,1,4,8,4,1,1,8,0,12,0.5
mad_hi-char2,4,1,11,1,3,7,5,1,1,12,0,10,0.25
mul-basic-int-1_pma,2,8,43,1,24,27,3,1,1,0,0,88,1.75922E+13
mad_hi-char8,4,4,29,1,12,16,5,1,1,12,0,40,1024
masked_load_short4,2,2,7,1,2,4,3,1,1,2,0,8,1
bitselect-uint3,4,3,26,1,12,16,4,1,1,12,0,36,512
short2fp_with_shift,2,8,23,1,16,18,4,1,1,2,0,36,4096
bitselect-uint4,4,4,33,1,16,20,4,1,1,15,0,48,16384
shl-complicated-char-2_pma,2,8,59,1,40,43,5,1,1,1,0,96,68719476736
bitselect-uint8,4,8,61,1,32,36,4,1,1,12,0,96,17179869184
sub_sat-int3,5,6,42,1,30,33,5,1,2,1,0,84,2.19902E+12
sub_sat-int2,5,6,30,1,20,23,5,1,2,8,0,56,33554432
sub_sat-int4,5,6,54,1,40,43,5,1,2,1,0,112,1.44115E+17
isgreaterequal-float8,2,8,35,1,16,19,4,1,1,12,0,48,4096
convert-uint8-char8,1,8,10,1,0,2,2,1,1,0,0,16,32
convert-float4-short4,1,4,10,1,4,6,3,1,1,1,0,12,2
isgreaterequal-float2,2,2,11,1,4,7,4,1,1,1,0,12,1
isgreaterequal-float3,2,3,15,1,6,9,4,1,1,12,0,18,4
isgreaterequal-float4,2,4,19,1,8,11,4,1,1,12,0,24,16
homWarp,24,10,116,1,80,84,11,1,1,100,4,215,3.16913E+29
ocl-dempster-shafer,3,4,29,1,21,24,6,1,1,0,1,48,262144
hadd-char8,3,4,20,1,8,11,4,1,1,12,0,28,128
exp2-float,1,1,4,1,1,3,3,1,1,12,1,3,0.25
hadd-char4,3,2,12,1,4,7,4,1,1,12,0,14,2
hadd-char2,3,1,8,1,2,5,4,1,1,12,0,7,0.25
hadd-char3,6,2,17,1,6,10,4,2,1,12,0,17,0.5
clamp-uint3,3,3,19,1,6,10,4,1,1,14,0,24,16
clamp-uint2,3,2,14,1,4,8,4,1,1,10,0,16,2
clamp-uint4,3,4,24,1,8,12,4,1,1,14,0,32,128
select-int3,3,3,22,1,9,13,4,1,2,14,0,36,8192
clamp-uint8,3,8,44,1,16,20,4,1,1,12,0,64,524288
pad-x-split_pma,1,1,4,1,1,3,3,1,1,1,0,3,0.25
select-int4,3,4,28,1,12,16,4,1,2,10,0,48,524288
abs-diff-short,2,8,35,1,16,19,3,1,2,15,0,64,268435456
masked_store_splat_data_compare_2Conds_or,5,4,36,2,22,29,7,1,1,1,0,60,8388608
vec_step-ushort,1,1,3,1,0,2,2,1,1,12,0,2,0.25
abs_diff-short,2,1,6,1,1,4,3,1,1,0,0,5,0.25
any-short,4,1,7,1,1,4,3,2,1,0,0,5,0.125
convert-float4-ushort4,1,4,10,1,4,6,3,1,1,10,0,12,2
convert-ushort3-uint3,3,2,6,1,0,3,2,2,1,8,0,5,0.25
min-float,2,1,6,1,1,4,3,1,1,12,0,5,0.25
maxpool3_i32,1,1,4,2,1,4,3,1,1,14,0,3,0.25
hsub_char16,3,8,36,1,16,19,4,1,1,14,0,56,524288
vec_step-int4,1,1,3,1,0,2,2,1,1,12,0,2,0.25
abs_diff-char16,2,8,27,1,8,11,3,1,1,10,0,40,4096
hsub_ushort2,2,1,6,1,1,4,3,1,1,14,0,5,0.25
masked_load_char4_with_bounds,2,2,7,1,2,4,3,1,1,14,0,8,1
vec_step-int8,1,1,3,1,0,2,2,1,1,0,0,2,0.25
step_scalar-float2,3,4,13,1,6,9,4,1,1,0,0,19,32
step_scalar-float3,3,6,17,1,9,12,4,1,1,15,0,28,1024
avg_add_i16_unsigned_vec,3,1,8,1,2,5,4,1,1,0,0,7,0.25
step_scalar-float4,3,8,21,1,12,15,4,1,1,3,0,37,32768
convert-short3-float3_rtp,1,2,7,1,3,5,3,1,1,10,0,8,1
sub-transformations-none-none-halve-uchar-1_pma,2,8,27,1,8,11,3,1,1,3,0,40,4096
convert-short3-float3_rtz,1,2,7,1,3,5,3,1,1,1,0,8,1
outer_loop_acc_early,3,1,9,3,3,9,4,1,1,3,0,8,0.25
sub_sat-uint8,2,8,35,1,16,19,4,1,1,3,0,56,1048576
convert-short3-float3_rte,1,2,7,1,3,5,3,1,1,15,0,8,1
mul-basic-extended-char-char-int_pma,2,4,27,1,16,19,4,1,1,3,0,40,4096
convert-short3-float3_rtn,1,2,7,1,3,5,3,1,1,1,0,8,1
sub_sat-uint3,2,3,15,1,6,9,4,1,1,15,0,21,32
sub_sat-uint2,2,2,11,1,4,7,4,1,1,15,0,14,4
sub_sat-uint4,2,4,19,1,8,11,4,1,1,2,0,28,256
native_exp-float,2,1,5,1,1,3,3,1,1,2,1,4,0.25
cmp-basic-short8-1_pma,9,8,22,1,8,10,3,1,1,1,0,35,4096
mul_hi-int,2,4,12,1,7,10,4,1,1,2,0,19,64
max-short,2,1,6,1,1,4,3,1,1,1,0,5,0.25
add_rshift_sat_pos_h_ui,3,8,28,1,8,12,3,1,1,3,0,48,524288
native_cos-float,2,1,5,1,1,3,3,1,1,2,1,4,0.25
verification-api-1-negative-pma,2,8,19,1,8,10,3,1,1,3,0,32,4096
min-uchar16,2,8,35,1,16,19,3,1,2,1,0,64,268435456
add_rshift_sat_pos_h_uu,3,8,28,1,8,12,3,1,1,3,0,48,524288
accumulate-char16-short16_pma,1,8,18,2,8,18,3,1,1,3,0,24,32
round-float2,7,5,36,1,26,28,5,1,2,15,0,66,536870912
radians-float,2,1,5,1,1,3,3,1,1,8,0,4,0.25
max_scalar-float4,2,4,12,1,4,7,3,1,1,9,0,17,16
max_scalar-float3,2,3,10,1,3,6,3,1,1,15,0,13,4
max_scalar-float2,2,2,8,1,2,5,3,1,1,1,0,9,1
convert-float2-char2_rtn,1,2,6,1,2,4,3,1,1,1,0,6,0.5
convert-uchar16-int16,4,8,22,1,8,13,3,3,1,4,0,26,8
convert-float8-char8,1,8,18,1,8,10,3,1,1,1,0,24,32
fp_inv-vec16,3,16,37,1,16,20,3,2,1,100,16,64,67108864
mad_sat-ushort,4,1,10,1,2,6,4,1,1,15,0,9,0.25
convert-uint3-uchar3,1,4,6,1,0,2,2,1,1,1,0,8,2
min-max-char-1-wide_pma,2,8,83,1,64,67,5,1,2,3,0,136,4.5036E+15
convert-ushort4-float4_rtn,1,2,8,1,4,6,3,1,1,15,0,10,2
convert-ushort4-float4_rte,1,2,8,1,4,6,3,1,1,1,0,10,2
convert-int-float,1,1,4,1,1,3,3,1,1,1,0,3,0.25
convert-ushort4-float4_rtz,1,2,8,1,4,6,3,1,1,3,0,10,2
convert-ushort4-float4_rtp,1,2,8,1,4,6,3,1,1,1,0,10,2
convert-short2-ushort2,1,1,3,1,0,2,2,1,1,1,0,2,0.25
native_sin-float,2,1,5,1,1,3,3,1,1,15,1,4,0.25
convert-int-short,1,1,3,1,0,2,2,1,1,15,0,2,0.25
unaligned-store-offset-0-width-1,2,1,6,1,1,4,3,1,1,3,0,5,0.25
convert-int16-char16,2,8,19,1,0,3,2,1,1,15,0,32,4096
mul-hi-mixed-uchar-ushort-1_pma,2,8,35,1,16,19,3,1,2,3,0,64,268435456
hadd_noExtendType_MSBSet_SRA_v2i16,3,2,9,1,3,6,4,1,1,0,0,9,0.5
convert-ushort4-uchar4,1,2,4,1,0,2,2,1,1,15,0,4,0.5
sub-imm,2,8,19,1,8,10,3,1,1,8,0,32,4096
ceil-float2,1,2,6,1,2,4,3,1,1,15,0,6,0.5
iv_cmp_pred_and_actual_use,4,2,15,2,9,13,6,1,1,15,0,15,0.5
world-to-spherical,12,32,222,1,188,200,10,2,1,100,16,404,3.06499E+54
gather-itr-array2,2,8,27,1,8,11,3,1,1,15,0,40,4096
gather-itr-array1,2,8,19,1,8,10,3,1,1,1,0,32,4096
mul24-int2,3,8,22,1,14,17,5,1,1,15,0,38,32768
mul24-int3,3,12,31,1,21,24,5,1,1,9,0,57,33554432
mul24-int4,3,16,40,1,28,31,5,1,1,1,0,76,34359738368
rotate-short16,2,8,51,1,32,35,4,1,1,1,0,80,268435456
mul24-int8,3,32,76,1,56,59,5,1,1,1,0,152,3.77789E+22
convert-int8-float8,1,8,18,1,8,10,3,1,1,1,0,24,32
hadd-short,2,1,6,1,1,4,3,1,1,15,0,5,0.25
no-consec-dim_pma,2,8,20,1,0,4,2,2,1,15,0,32,2048
vec_step-int,1,1,3,1,0,2,2,1,1,1,0,2,0.25
hadd-int,2,1,6,1,1,4,3,1,1,12,0,5,0.25
select-int8,3,8,52,1,24,28,4,1,2,15,0,96,8.79609E+12
clamp-float,3,1,9,1,2,6,4,1,1,15,0,8,0.25
i16-acc-abs_diff-short,2,1,6,2,1,5,3,1,1,1,0,5,0.25
add-non-imm-1d-int_pma,2,8,19,1,8,10,3,1,1,15,0,32,4096
cross_loops_accumulation_umax,3,2,14,4,5,13,6,1,1,1,0,15,1
convert-ushort3-short3,1,2,4,1,0,2,2,1,1,12,0,4,0.5
clamp-short2_scalar,3,2,11,1,4,8,4,1,1,15,0,13,2
select-int2,3,2,16,1,6,10,4,1,2,1,0,24,128
convert-short16-char16,1,8,10,1,0,2,2,1,1,15,0,16,32
pos-abs-add-char_pma,2,8,67,1,48,51,6,1,1,3,0,88,1048576
add-3d_pma,2,8,19,1,8,10,3,1,1,15,0,32,4096
native_tan-float,2,2,7,1,3,5,4,1,1,100,3,8,1
shufflevector-float-one-def-1_pma,1,4,6,1,0,2,2,1,1,0,0,8,2
iters-for-hoist-int4_pma,4,4,22,1,8,12,3,2,1,0,0,32,512
degrees-float,2,1,5,1,1,3,3,1,1,14,0,4,0.25
pma_acopy_3D2,2,8,19,1,8,10,3,1,1,15,0,32,4096
pma_acopy_3D1,2,8,19,1,8,10,3,1,1,15,0,32,4096
convert-short16-uchar16,1,8,10,1,0,2,2,1,1,1,0,16,32
rotate-int16,4,8,102,1,64,70,4,2,1,1,0,160,1.44115E+17
shl-const-non-imm-non-splatted-mask-short_pma,5,4,14,1,4,6,3,1,1,3,0,16,2
vec_step-uchar,1,1,3,1,0,2,2,1,1,9,0,2,0.25
hsub_uchar,2,1,6,1,1,4,3,1,1,3,0,5,0.25
convert-int8-float8_rte,1,8,18,1,8,10,3,1,1,1,0,24,32
mul-cospi-float,2,1,6,1,1,4,3,1,1,1,1,5,0.25
mad24-uint2,3,3,18,1,8,12,4,1,1,1,0,28,512
mad24-uint3,3,4,32,1,16,20,4,1,1,1,0,56,8388608
mad24-uint4,3,4,32,1,16,20,4,1,1,1,0,56,8388608
mad_hi-ushort16,3,8,52,1,24,28,4,1,1,5,0,88,34359738368
mad24-uint8,3,8,60,1,32,36,4,1,1,1,0,112,2.2518E+15
convert-float3-short3,1,3,8,1,3,5,3,1,1,15,0,9,1
i16-acc-reduce_add-unsigned,2,1,8,2,3,7,4,1,1,0,0,7,0.25
maxpool_8x8_set16,3,32,125,1,88,92,9,2,1,9,0,216,1.23794E+27
vec_step-uchar2,1,1,3,1,0,2,2,1,1,1,0,2,0.25
vec_step-uchar3,1,1,3,1,0,2,2,1,1,15,0,2,0.25
vec_step-uchar4,1,1,3,1,0,2,2,1,1,12,0,2,0.25
max-uint,2,1,6,1,1,4,3,1,1,12,0,5,0.25
vec_step-uchar8,1,1,3,1,0,2,2,1,1,12,0,2,0.25
bitselect-char,4,2,12,1,4,8,4,1,1,12,0,12,0.5
racc-char8_pma,1,4,9,2,3,7,4,1,1,0,0,11,2
iv-select-acc-lt-idx-outerLoop-i16,2,1,6,3,2,8,4,1,1,12,0,5,0.25
convert-uchar8-short8,1,4,10,1,4,6,3,1,1,12,0,12,2
convert-float2-uchar2,1,2,6,1,2,4,3,1,1,1,0,6,0.5
median-test_5,2,3,13,2,9,12,5,1,1,3,0,18,16
sub_sat-uchar16,2,8,59,1,40,43,5,1,2,1,0,104,1.75922E+13
select-ushort4,3,2,14,1,4,8,3,1,2,1,0,22,128
select-ushort2,3,2,9,1,2,6,3,1,1,1,0,11,2
select-ushort3,4,2,15,1,4,8,3,1,2,1,0,23,128
load_with_2_bounds_same_dim,2,8,27,1,8,11,3,1,1,1,0,40,4096
convert-float4-ushort4_sat,7,4,56,1,44,46,6,1,2,12,0,112,3.60288E+16
select-ushort8,3,4,24,1,8,12,3,1,2,12,0,44,524288
atan-float2,1,2,6,1,2,4,3,1,1,14,2,6,0.5
atan-float3,1,3,8,1,3,5,3,1,1,12,3,9,1
convert-uint8-uchar8,1,8,10,1,0,2,2,1,1,14,0,16,32
atan-float4,1,4,10,1,4,6,3,1,1,12,4,12,2
atan-float8,1,8,18,1,8,10,3,1,1,12,8,24,32
convert-char4-uchar4,1,1,3,1,0,2,2,1,1,12,0,2,0.25
convert-float-ushort_sat_rtp,7,4,20,1,11,13,6,1,1,1,0,28,128
convert-float-ushort_sat_rtn,7,4,20,1,11,13,6,1,1,3,0,28,128
convert-uint4-int4,1,4,6,1,0,2,2,1,1,1,0,8,2
convert-float-ushort_sat_rte,7,4,20,1,11,13,6,1,1,10,0,28,128
store_2_char_bufs_lo_hi_2,3,4,20,1,8,11,3,1,1,11,0,32,2048
shufflevector-float-1-wide_pma,2,4,11,1,0,3,2,1,1,0,0,16,16
copysign-float,4,1,10,1,3,6,4,1,1,8,0,9,0.25
convert-float8-uint8,1,8,18,1,8,10,3,1,1,100,0,24,32
convert-short4-int4,1,2,8,1,4,6,3,1,1,12,0,10,2
select-uint,3,2,10,1,3,7,4,1,1,12,0,12,2
min-char2,2,2,9,1,4,7,4,1,1,12,0,10,1
min-char3,4,2,16,1,7,11,4,2,1,1,0,18,2
clamp-uchar8_scalar,4,8,33,1,22,26,5,1,1,3,0,54,1048576
min-char4,2,2,15,1,8,11,4,1,1,1,0,20,16
min-char8,2,4,27,1,16,19,4,1,1,3,0,40,4096
fold-select-into-load-short,2,8,19,1,8,10,3,1,1,1,0,32,4096
scatter-predicated,3,4,29,2,16,28,4,1,2,3,0,50,1048576
fp_to_uchar,1,1,4,1,1,3,3,1,1,11,0,3,0.25
pos-abs-add-int_pma,2,4,23,1,12,15,4,1,1,0,0,28,16
memcpy_1D,2,8,19,1,8,10,3,1,1,11,0,32,4096
max-ushort4,2,2,11,1,4,7,3,1,2,2,0,16,16
max-ushort3,4,2,12,1,3,7,3,2,1,3,0,14,2
max-ushort2,2,2,7,1,2,5,3,1,1,3,0,8,1
i16-acc-umax,1,1,4,2,1,4,3,1,1,1,0,3,0.25
max-ushort8,2,4,19,1,8,11,3,1,2,1,0,32,4096
convert-uchar16-short16,1,8,18,1,8,10,3,1,1,12,0,24,32
double_buf,3,4,29,1,21,24,6,1,1,0,1,48,262144
abs-int2,1,2,6,1,2,4,3,1,1,14,0,6,0.5
abs-int3,1,3,8,1,3,5,3,1,1,14,0,9,1
abs-int4,1,4,10,1,4,6,3,1,1,2,0,12,2
convert-float8-char8_sat_rtp,6,8,95,1,80,82,5,1,2,1,0,208,5.1923E+33
abs-int8,1,8,18,1,8,10,3,1,1,10,0,24,32
mul_hi-char2,3,1,8,1,2,5,4,1,1,8,0,7,0.25
add_sat-short16,4,16,77,1,56,59,4,1,1,2,0,192,2.07692E+34
convert-uchar4-float4,1,2,8,1,4,6,3,1,1,15,0,10,2
mul_hi-char4,3,2,12,1,4,7,4,1,1,15,0,14,2
convert-uchar8-int8,3,4,12,1,4,7,3,2,1,1,0,13,1
bilinear-upsample-consts-pma,1,4,11,1,6,9,4,2,1,15,0,15,8
assert_pass,2,8,19,1,8,10,3,1,1,14,0,32,4096
convert-uint8-int8,1,8,10,1,0,2,2,1,1,1,0,16,32
convert-ushort16-int16,4,8,14,1,0,5,2,3,1,1,0,18,8
clamp-char,3,1,12,1,5,9,5,1,1,3,0,11,0.25
select-float,3,2,10,1,3,7,4,1,1,1,0,12,2
convert-float2-short2_sat_rtz,6,4,29,1,20,22,5,1,2,1,0,52,4194304
vec_step-uchar16,1,1,3,1,0,2,2,1,1,1,0,2,0.25
convert-float2-short2_sat_rtn,6,4,29,1,20,22,5,1,2,2,0,52,4194304
convert-uchar2-int2,3,1,6,1,1,4,3,2,1,15,0,4,0.125
convert-float2-short2_sat_rte,6,4,29,1,20,22,5,1,2,15,0,52,4194304
clamp-ushort16_scalar,3,16,46,1,32,36,4,1,1,15,0,90,8.79609E+12
select-float3,3,3,22,1,9,13,4,1,2,2,0,36,8192
trunc-float4,1,4,10,1,4,6,3,1,1,15,0,12,2
trunc-float3,1,3,8,1,3,5,3,1,1,1,0,9,1
trunc-float2,1,2,6,1,2,4,3,1,1,15,0,6,0.5
convert-uchar3-int3,3,2,6,1,0,3,2,2,1,15,0,5,0.25
iv-select-acc-eq-idx-innerLoop-i16,2,1,6,3,2,7,4,1,1,3,0,5,0.25
gather-float,2,8,20,1,4,7,5,1,1,0,0,32,2048
convert-int16-float16,2,8,36,1,16,20,3,2,1,1,0,48,2048
rotate-uint,2,2,9,1,4,7,4,1,1,15,0,10,1
rhadd-short2,3,2,12,1,6,9,4,1,1,15,0,14,2
rhadd-short3,3,3,17,1,9,12,4,1,1,8,0,22,16
rhadd-short4,3,4,20,1,12,15,4,1,1,15,0,28,128
is_iv_in_range,3,2,11,2,3,8,4,1,1,1,0,11,0.5
rhadd-short8,3,8,36,1,24,27,4,1,1,15,0,56,524288
convert-ushort8-uchar8,1,4,6,1,0,2,2,1,1,15,0,8,2
clamp-short_scalar,3,1,9,1,2,6,4,1,1,1,0,8,0.25
mul_hi-char16,3,8,36,1,16,19,4,1,1,1,0,56,524288
fdim-float4,2,4,19,1,8,11,4,1,1,0,0,24,16
scheduleRA-rollback_pma,3,2,46,1,36,40,12,1,2,9,0,80,8589934592
racc-short16_pma,1,8,18,2,8,11,6,1,2,11,0,32,8192
shl-const-non-imm-non-splatted-mask-int-wide_pma,9,8,26,1,8,10,3,1,1,11,0,32,32
fdim-float2,2,2,11,1,4,7,4,1,1,1,0,12,1
fdim-float3,2,3,15,1,6,9,4,1,1,1,0,18,4
fdim-float8,2,8,35,1,16,19,4,1,1,15,0,48,4096
clamp-uint2_scalar,3,2,12,1,4,8,4,1,1,1,0,14,2
convert-short8-uchar8,1,4,6,1,0,2,2,1,1,0,0,8,2
convert-float-int_rtz,1,1,4,1,1,3,3,1,1,0,0,3,0.25
mul_hi-short16,2,8,35,1,16,19,3,1,2,9,0,64,268435456
bitselect-ushort4,4,2,19,1,8,12,4,1,1,1,0,24,16
bitselect-ushort2,4,2,12,1,4,8,4,1,1,3,0,12,0.5
bitselect-ushort3,5,2,20,1,8,12,4,1,1,0,0,24,8
convert-char16-int16,3,8,29,1,16,19,3,2,1,12,0,56,67108864
bitselect-ushort8,4,4,33,1,16,20,4,1,1,15,0,48,16384
convert-ushort16-char16,1,8,10,1,0,2,2,1,1,15,0,16,32
sign-float16,4,32,118,1,96,100,4,2,1,1,0,272,1.1418E+46
convert-short-float_rtn,1,1,4,1,1,3,3,1,1,1,0,3,0.25
add-non-imm-1d-short_pma,2,8,19,1,8,10,3,1,1,2,0,32,4096
vec_step-uint,1,1,3,1,0,2,2,1,1,1,0,2,0.25
dl-accloop1-known-tc_pma,2,4,15,2,4,8,5,1,1,1,0,20,16
mul-basic-mixed-short-char-short_pma,2,8,43,1,24,27,4,1,1,2,0,72,268435456
upsample-ushort,2,1,5,1,0,3,2,1,1,15,0,4,0.25
vec_step-int2,1,1,3,1,0,2,2,1,1,0,0,2,0.25
vec_step-int3,1,1,3,1,0,2,2,1,1,12,0,2,0.25
pos-abs-add-int-wide_pma,2,8,43,1,24,27,4,1,1,3,0,56,4096
convert-float8-ushort8_rtz,1,8,18,1,8,10,3,1,1,1,0,24,32
multi-acc-short8_pma,2,4,23,2,12,23,4,1,1,12,0,28,16
ashr-basic-int-1_pma,2,8,19,1,8,10,3,1,1,1,0,32,4096
min-uint2,2,2,9,1,2,5,3,1,1,15,0,10,1
min-uint3,2,3,12,1,3,6,3,1,1,1,0,15,4
convert-float8-ushort8_rtn,1,8,18,1,8,10,3,1,1,9,0,24,32
clamp-ushort8_scalar,3,8,26,1,16,20,4,1,1,15,0,46,524288
rshift_sat_pos_h_uu,4,8,54,1,16,22,3,2,1,12,0,80,33554432
min-uint4,2,4,15,1,4,7,3,1,1,14,0,20,16
convert-float8-ushort8_rte,1,8,18,1,8,10,3,1,1,12,0,24,32
convert-float-int_rtn,1,1,4,1,1,3,3,1,1,1,0,3,0.25
min-uint8,2,8,27,1,8,11,3,1,1,3,0,40,4096
convert-int2-float2_rtn,11,6,62,1,48,50,9,1,2,1,0,108,3.51844E+13
bitselect-float2,4,2,19,1,8,12,4,1,1,0,0,24,16
bitselect-float3,4,3,26,1,12,16,4,1,1,0,0,36,512
bitselect-float4,4,4,33,1,16,20,4,1,1,1,0,48,16384
bitselect-float8,4,8,61,1,32,36,4,1,1,1,0,96,17179869184
convert-int2-float2_rte,1,2,6,1,2,4,3,1,1,0,0,6,0.5
convert-int2-float2_rtz,8,4,41,1,30,32,7,1,2,1,0,70,268435456
convert-ushort8-short8,1,4,6,1,0,2,2,1,1,1,0,8,2
convert-int2-float2_rtp,11,6,62,1,48,50,9,1,2,2,0,108,3.51844E+13
pma_acopy_3D2_deprecatedAPI,2,8,19,1,8,10,3,1,1,14,0,32,4096
dl-accloop1_pma,2,4,15,2,4,8,5,1,1,2,0,20,16
pos-abs-int_pma,2,4,20,1,8,12,3,2,1,1,0,24,8
hsub_short,2,1,6,1,1,4,3,1,1,12,0,5,0.25
step_scalar-float8,3,16,37,1,24,27,4,1,1,3,0,73,34359738368
rhadd-char3,6,2,18,1,7,11,4,2,1,3,0,18,0.5
select-ushort16,3,8,44,1,16,20,3,1,2,0,0,88,8.79609E+12
add-interlace-1d-short_pma,3,4,16,1,8,10,3,1,1,11,0,28,2048
convert-char8-float8_rtz,2,8,23,1,16,18,5,1,1,0,0,36,4096
convert-short16-float16_rtn,1,8,27,1,16,19,3,2,1,15,0,40,4096
convert-char8-float8_rtp,2,8,23,1,16,18,5,1,1,0,0,36,4096
store-1-byte-x2,3,2,8,1,2,5,3,2,1,3,0,7,0.25
i16-acc-dot_prod_add,2,1,6,2,1,5,3,1,1,12,0,5,0.25
sign-float,3,4,11,1,6,8,4,1,1,9,0,17,32
convert-short16-float16_rtz,1,8,27,1,16,19,3,2,1,14,0,40,4096
convert-char8-float8_rtn,2,8,23,1,16,18,5,1,1,1,0,36,4096
convert-short16-float16_rtp,1,8,27,1,16,19,3,2,1,15,0,40,4096
convert-uint16-uchar16,2,8,19,1,0,3,2,1,1,14,0,32,4096
convert-char8-float8_rte,2,8,23,1,16,18,5,1,1,15,0,36,4096
